Name,RA,DEC,Mag,Period,Epoch,LCs in TESS,Publications,Phase
V0554  Dra,,,,None,None,43,1 Pub -> 2009AJ....138..466H,"2022-01-01:[0.3,0.5]; 2022-01-08:[0.5,0.7]"
RZ Dra,,,,None,None,39,>50 Pub. Phot solution,"2022-01-31:[0.8, 0.3]"
AU Dra,,,,None,None,36,19 pub NO SOLUTION,
DD Dra,,,,None,None,36,28 pub NO phys solution,
V0380 Dra,,,,None,None,36,5 Pub. Phot sol. B=13.4,
V0527 Dra,,,,None,None,36,2 Pub,
BE Dra,,,,None,None,33,25 Pub. No Solution,
V0374 Dra,,,,None,None,33,3 Pub No Solution. BRIGHT m=10,
VY UMi,,,,None,None,33,13 Pub. No Solution. HAVE OBSERVATION,
V0372 Dra,,,,None,None,27,7 pub no solution,
V0435 Dra,,,,None,None,26,"2 pub, No solu",
EG Cep,,,,None,None,24,> 100 Pub,
V0357 Dra,,,,None,None,24,"4 pub , minima",
V0362 Dra,,,,None,None,24,3 Pub No Solution,
V0388 Dra,,,,None,None,24,"4 pub , minima",
V0400 Dra,,,,None,None,24,"4 pub , minima",
V0518 Dra,,,,None,None,24,"2 pub, No solu",
V0541 Dra,,,,None,None,24,"2 pub, No solu",
V0580 Dra,,,,None,None,24,3pub no solution,
V0514 Dra,,,,None,None,23,"4 pub, Has Phot solution",
V0365 Dra,,,,None,None,21,2 pub no solution,
V0509 Dra,,,,None,None,21,1 pub no solution,
V0532 Dra,,,,None,None,20,2 pub no solution,
V0422 Dra,,,,None,None,18,,
V0584 Dra,,,,None,None,18,,
V0939 Cyg,,,,None,None,15,,
V0405 Dra,,,,None,None,15,,
V0347 Dra,,,,None,None,14,,
V0421 Dra,,,,None,None,14,,
AC UMi,,,,None,None,14,????? Where is this,
V0539 Dra,,,,None,None,13,,
V0856 Cep,,,,None,None,12,,
V0875 Cep,,,,None,None,12,,
AR Dra,,,,None,None,12,,
V0449 Dra,,,,None,None,12,,
RU UMi,,,,None,None,12,"86 pub, Solution 2020 MNRAS     HAVE OBSERVATIONS",
AX Dra,,,,None,None,11,,
V0436 Dra,,,,None,None,11,,
V0510 Dra,,,,None,None,11,,
WZ Cep,,,,None,None,10,,
GW Cep,,,,None,None,10,,
V0439 Dra,,,,None,None,10,,
V1185 Her,,,,None,None,10,,
RZ UMi,,,,None,None,10,,
VW UMi,,,,None,None,10,,
CRTS J091136.4+365614,09h11m36.455s,+36d56m14.322s,13.99,0.300109,59604.30872407,?,ASASSN Epoch=2457452.80747 P0=0.3001095,
